Timestamp,ProcessMemory,Prediction,PredictionTimeMS
2020/2/1 13:00,11.56359173,68.36342692,412.382545
2020/2/1 13:07,12.45654894,67.63852311,456.1644023
2020/2/1 13:14,12.95153951,48.62273486,391.6189565
2020/2/1 13:16,11.4991996,61.00827174,472.2172597
2020/2/1 13:25,12.1199391,58.97688941,314.578216
2020/2/1 13:29,12.40996267,52.00308925,443.1127406
2020/2/1 14:18,13.11935479,66.74753193,374.0947894
2020/2/1 14:20,11.976579,45.97805308,526.2223887
2020/2/1 14:48,12.71003574,43.19527317,375.3074349
2020/2/1 15:24,11.39888985,66.97389493,372.2758618
2020/2/1 15:27,12.17321233,63.0914983,234.3244788
2020/2/1 15:50,12.1605632,66.85709579,340.6088463
2020/2/1 15:57,11.31395117,40.93689373,404.7622232
2020/2/1 16:07,12.25385887,40.76016827,222.964863
2020/2/1 16:14,11.40926943,53.31690147,440.5884505
2020/2/1 17:09,11.86691937,53.6955348,363.9275446
2020/2/1 17:17,11.78825261,57.41773913,413.9446315
2020/2/1 17:18,12.12208373,64.80181789,389.6421923
2020/2/1 17:23,12.42658425,53.91357018,373.4356595
2020/2/1 17:59,11.94683559,42.90442011,401.0265726
2020/2/1 18:13,13.34500007,60.65972978,300.2041812
2020/2/1 18:15,12.94983267,54.57798356,371.7790248
2020/2/1 18:39,11.63505709,66.27304576,140.2459093
2020/2/1 18:43,12.50047956,53.89079595,396.3090121
2020/2/1 18:50,12.01446475,47.07389372,124.9781942
2020/2/1 19:00,11.82214224,48.53260804,280.1322614
2020/2/1 20:28,12.21050808,40.37660068,327.3739983
2020/2/1 20:38,12.42517404,61.69892095,278.7912657
2020/2/1 21:50,11.28297352,49.00869979,400.2653324
2020/2/1 21:54,11.70864439,43.03378086,420.4277124
2020/2/1 22:42,11.96871472,45.05335005,212.2460424
2020/2/1 22:56,11.68550637,48.74476935,213.5616565
2020/2/1 23:05,11.71353716,54.38243251,274.8420964
2020/2/1 23:10,11.23066384,64.05222044,342.4522973
2020/2/1 23:15,11.65968119,69.42145667,458.6532609
2020/2/1 23:23,11.45348055,64.5166206,239.9658929
2020/2/1 23:43,12.85930577,49.49353085,363.3770842
2020/2/2 0:05,10.87564128,63.7136603,327.4655919
2020/2/2 0:18,11.8101468,66.04799444,325.9372099
2020/2/2 0:23,11.76784541,61.7100384,271.4255983
2020/2/2 0:26,12.06170119,40.6530948,272.6709827
2020/2/2 1:08,11.73186129,41.35519127,437.3717843
2020/2/2 1:40,13.28852285,48.12145439,421.1495238
2020/2/2 1:49,12.66191171,40.31746199,297.9175152
2020/2/2 1:59,12.12952537,44.92715207,375.3582071
2020/2/2 2:04,11.84762463,54.87183666,319.7329201
2020/2/2 2:16,11.30458522,47.41688592,332.1152296
2020/2/2 2:52,11.90933001,42.94266239,399.5427149
2020/2/2 2:54,12.34722453,55.95300263,423.6363962
2020/2/2 3:24,11.20214535,53.95995789,330.6471087
2020/2/2 3:41,12.32074262,69.67472097,286.2884628
2020/2/2 3:53,12.39917112,69.66390102,440.8882119
2020/2/2 4:14,11.46423161,45.19902678,365.5573998
2020/2/2 4:36,12.35632229,40.62840095,368.3304201
2020/2/2 4:56,11.02168709,59.39194679,387.3947394
2020/2/2 5:18,11.23288958,66.14045619,306.8626688
2020/2/2 5:22,11.74230239,41.276368,361.5140373
2020/2/2 5:40,12.48487404,61.71019122,185.7512411
2020/2/2 5:42,12.14912482,62.86319504,357.4027379
2020/2/2 5:46,11.80027059,61.84644919,247.0069318
2020/2/2 6:22,11.51396407,51.7341669,270.388162
2020/2/2 6:26,12.42290654,46.90948648,257.3360005
2020/2/2 6:45,11.99061297,52.57807544,347.3928952
2020/2/2 7:04,11.61928784,64.29844385,497.565731
2020/2/2 7:25,12.49453482,61.09202911,380.2749177
2020/2/2 7:26,12.56555409,50.14847225,412.3339957
2020/2/2 7:45,11.98651838,56.1118651,420.5565407
2020/2/2 8:19,11.81012306,42.24108891,192.4747967
2020/2/2 8:23,11.4516441,52.09858417,357.2732034
2020/2/2 8:26,12.11472889,60.17454736,410.1400697
2020/2/2 8:38,13.0873466,65.17795988,327.6754671
2020/2/2 8:43,12.97060957,41.63064277,420.5595286
2020/2/2 8:48,12.58171255,45.98300266,419.5633417
2020/2/2 9:02,12.09925886,44.75757233,413.9174777
2020/2/2 9:14,12.16532697,56.59781431,321.040637
2020/2/2 9:15,11.78331078,54.32057163,296.9982009
2020/2/2 9:21,11.52950411,55.2713283,286.1163757
2020/2/2 9:40,11.88457466,61.20031729,250.898181
